Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
12/15/22 03:03,Somersworth,,USA,Disk,Every night at 2am,Every night around 2am I have been seeing things in the sky that kind of looks like drones but it's not they are larger.,12/22/22,Yes
12/14/22 20:30,Flower mound,TX,USA,Disk,7+ hours,Saw fast moving disk in sky as well an entities in the craft,12/22/22,
12/14/22 19:40,Greenwood,IN,USA,Triangle,3 minutes,"Three circular lights lined up in a triangular shape, then rotated clockwise",12/22/22,
12/14/22 19:30,Deerfield Beach,FL,USA,Fireball,A few seconds,Craft heading east to west,12/22/22,
12/14/22 06:33,Gilbert,AZ,USA,Unknown,seconds,Object streaked across sky with a green haze and green trail,12/22/22,
12/14/22 02:46,Calverton,NY,USA,Egg,20 seconds,Captured during long exposure photo session.,12/22/22,Yes
12/13/22 22:30,Buckeye,AZ,USA,Triangle,5 min,"Black triangle with glowing warm orange lights at each corner. Silent, moved across sky. Almost invisible, seemed to be very large.",12/22/22,Yes
12/13/22 21:55,Baltimore,MD,USA,Light,10 seconds,Turquoise light shooting fast in the sky then disappears,12/22/22,
12/13/22 21:25,Lakeville,MA,USA,Formation,slow decent for hours,"The object of focus last night was an object that has lights in in a pyramid grid, but the actual shape is difficult to confirm",12/22/22,Yes
12/13/22 20:47,Savannah,GA,USA,Light,5 seconds,"As we were standing on the ramp near the beach, my friend said, What is that? And for a few more seconds it flew extremely horizontal",12/22/22,
12/13/22 20:43,Richmond,VA,USA,Oval,1 or 2 seconds,Blue orb seen for 1-2 seconds at approximately 100 feet in altitude flying from east to west over the southern end of RIC.,12/22/22,
12/13/22 18:54,Bolton,Lancashire,United Kingdom,Circle,Less than a minute,Large bright pulsating circular object appeared in the sky out of nowhere,12/22/22,Yes
12/13/22 17:57,Hercules,CA,USA,Light,approx. 1 minute,Bright Red Light appearing to be low in the dark (night) sky,12/22/22,
12/13/22 12:07,Kent,OH,USA,Cross,40 seconds,"I thought at first this might be a plane making its way upwards, soon to see that it was remaining stationary.",12/22/22,
12/13/22 10:20,Lewistown,,USA,Circle,,it almost looked like a bright star but it was movie left and right up and down it was not a plane,12/22/22,
12/13/22 02:00,Phila,PA,USA,Light,10 min,Brilliant glowing trails of light,12/22/22,Yes
12/12/22 22:00,Harleysville,PA,,Changing,Throughout the night,Numerous big bright rapidly changing lights.,12/22/22,
12/12/22 22:00,Lower Hutt,Wellington Region,New Zealand,Cone,15 Min,Witnessed a strange white light flying over Lower Hutt. Possible Chinese Rocket.,12/22/22,Yes
12/12/22 21:00,Prince George - Vancouver,BC,Canada,Light,10 secs x 4 times,A bright white light suddenly appeared in the western sky at night.,12/22/22,
12/12/22 20:40,woodsville,NH,USA,Light,5 sec.,helicopter accompanied by two small lights,12/22/22,
12/12/22 19:10,Pagosa Springs,,,Triangle,30 seconds,"Large, low-flying triangle with bright lights.",12/22/22,Yes
12/12/22 18:45,Belgium,WI,USA,Light,Approximately 4 minutes,Seven bluish white lights zigzagging in the sky at unexplainable speeds and directions. Beams going down to earth.,12/22/22,
12/11/22 20:30,Orkney,Orkney Islands,United Kingdom,Oval,30 MINUTES,I NOTICED A BLUE AND RED SHAPE FLASHING AND MOVING FROM SIDE TO SIDE.,12/22/22,
12/11/22 19:00,Homewood,IL,USA,Disk,5 to 10 minutes,Bright orange saucer shaped craft. Flying/hovering just inside the clouds.,12/22/22,
12/11/22 18:33,Bullhead City,AZ,USA,Circle,2 minutes,We saw three bright while lights. They appeared to be massive in size,12/22/22,Yes
12/11/22 16:05,Denver,CO,USA,Egg,15 minutes,Egg-shaped object popping in and out of sky at random locations,12/22/22,
12/11/22 05:56,Shenandoah,IA,USA,Changing,3-4 minutes,I first seen multiple lightsround in natureand thought to myself am I really seeing this?! So I grabbed my phone and took pictures!,12/22/22,Yes
12/11/22 02:50,Port St. Lucie,FL,USA,Changing,5-10 minutes,"Bright light appeared, started to move and creates blue trail and everything goes dark and 2 orbs result. Then another shortly appears.",12/22/22,
12/10/22 20:40,Harrisburg/Camp Hill,PA,USA,Light,10+ minutes,3 rotating lights shining through clouds moving at a consistent speed and moving in a consistent pattern,12/22/22,
12/10/22 19:58,Blakeslee,,,Sphere,3 minutes,Object was stationary and parallel with a star for several minutes. Then gained altitude in a linear fashion before moving west.,12/22/22,Yes
12/10/22 12:30,Utica,KY,USA,Circle,5 to 8 minutes,Was high in the sky then came down lower real close very very bright light,12/22/22,
12/10/22 08:42,Fort Lee,NJ,USA,Light,A mknute ir two,Several moving objects in the sky,12/22/22,
12/10/22 07:07,Albuquerque,NM,USA,Fireball,2 min,"Taking sunset pictures, noticed a weird fireball",12/22/22,Yes
12/10/22 06:25,Orefield,PA,USA,Cigar,5 seconds,Massive obsidian coloured cigar shaped object,12/22/22,
12/10/22 05:15,Creswell,OR,USA,Light,5-10 seconds,Green laser-like light,12/22/22,
12/10/22 04:00,,,,Changing,20 minutes,"Bright light, eastern sky, 20 degrees above horizon, and less bright light, appeared to circle each other then move away.",12/22/22,
12/10/22 04:00,Liberty Hill,TX,USA,Light,split second,TX 2 paralell streaks of light orange in color lit up the ground around me,12/22/22,
12/9/22 21:44,Springfield,OR,USA,Light,10 minutes,"Blue, pulsating light, below 7,000ft cloud ceiling on a rainy night.",12/22/22,Yes
12/9/22 21:40,Pottstown,PA,USA,Triangle,20 seconds,3 dim lit orange light under craft no blinking lights flying low and silent,12/22/22,
12/9/22 21:30,Lakeview,OR,USA,Rectangle,2 min,OR,12/22/22,
12/9/22 20:22,Modesto,CA,USA,Light,60 min,Flashing orbs that made geometric patterns and flashed different colors.,12/22/22,
12/9/22 20:20,Staten Island,NY,USA,Other,,A big long air craft that wasnt a plane for sure,12/22/22,Yes
12/9/22 17:36,Fallbrook,CA,USA,Circle,,Orange light moving oddly,12/22/22,
12/9/22 17:28,Moscow,ID,USA,Light,Total - 3 minutes,I observed the light when walking and as I watched it it made very precise vertical and horizontal moves,12/22/22,
12/9/22 15:30,Orlando,FL,USA,Sphere,4-5 mins,A shiny chrome-looking object in a clear blue sky,12/22/22,
12/9/22 13:15,Payson,UT,USA,Light,Less than a minute.,"A bright silver light appearing out of nowhere, then completely disappearing.",12/22/22,
12/9/22 04:45,Southern MI/Northern IN,IL,USA,Light,25 minutes,"Numerous Orbs from the Flight Deck of commercial flight. ((NUFORC Note: Report submitted by airline pilot, who corrected date, PD))",12/22/22,
12/9/22 04:30,Chicago,IL,USA,Light,45min,Multiple lights flying around high up. ((NUFORC: Notte: I believe the source of the report may be an airline pilot. PD)),12/22/22,
12/9/22 03:30,Hiouchi,CA,USA,Light,15 seconda,Lights flashing above tent,12/22/22,
12/8/22 21:18,Keller,VA,USA,Triangle,2 minutes on blured,I was headed south on 13 and noticed green and white lights in the distance not moving.,12/22/22,
12/8/22 19:12,Duncannon,PA,USA,Light,Approx 5 minutes,Saw two lights moving around in a pattern.,12/22/22,Yes
12/8/22 18:01,Soperton,GA,USA,Triangle,1-2 minutes,Triangle shaped aircraft just flew over my house,12/22/22,
12/8/22 18:00,Lakeville,MA,USA,Oval,5 hours,"a slow decent of a large object, with a perimeter set up of smaller objects at a lower elevation",12/22/22,
12/8/22 17:45,Eugene,OR,USA,Triangle,Lasted for about 10 secon,Saw triangle object with light beam,12/22/22,
12/8/22 17:15,Ava,NY,USA,Light,15 seconds,5 horizontal lights dimming out then back in after shifting direction. Lights reappear in a loner line of them before igniting?,12/22/22,
12/8/22 15:15,Orange City,FL,USA,Triangle,About 1 minute,"Three flying triangle objects flying, then disappeared.",12/22/22,
12/7/22 22:00,Newport,NC,USA,Circle,5 seconds,I saw what I thought was a star,12/22/22,
12/7/22 21:31,Bridgetown,Christ Church,Barbados,Light,unknown,small light that looks like a star floating and hovering close to the moon. looks like it is dropping lower ((NUFORC Note: Mars,12/22/22,
12/7/22 19:36,Venice,FL,USA,Light,5 to 6 min,"I saw a green lighted craft travelling toward glide slope at Venice airport. It moved at high speeds, flashing,brightening.",12/22/22,
12/7/22 17:48,Hoover,AL,USA,Disk,Unknown,While driving I saw a spinning disk of lights low to the ground with a red light blinking on top.,12/22/22,Yes
12/7/22 17:30,West Salem,OR,USA,Oval,30 seconds,"Diving , witnessed a very large craft, oval shaped , black, silent, hovering over a neighborhood in the outskirts of West Salem Oregon.",12/22/22,Yes
12/7/22 16:48,Reno,NV,USA,Cigar,2 full minutes,"I went to my hotel room, looked outside and saw a cigar shaped object emitting bright orange light",12/22/22,
12/7/22 01:30,pleasant hill,CA,USA,Circle,30 seconds,Bright orb falling / moving quickly as I drove home from work about 1:30am on 12/7/22. I posted on next-door neighborhood app,12/22/22,
12/7/22 01:14,Hathersage,Derbyshire,United Kingdom,Circle,Around 5 -10 mins,"3 together , then 2 went . Jumping all over sky multicoloured lights",12/22/22,Yes
12/6/22 19:34,SE Portland,OR,USA,Light,2 minutes,Saw a reddish glowing object coming towards me all of a sudden it split into two the new sphere then went in the opposite direction at,12/22/22,
12/6/22 19:17,Ocala,FL,USA,Changing,60 seconds,Round blue orb attached to white changing figure,12/22/22,Yes
12/6/22 06:45,Tregaron,Ceredigion,United Kingdom,Light,5 minutes,8 lights moving erratically,12/22/22,
12/6/22 06:41,Sherwood Park,AB,Canada,Triangle,10 minutes,Three white lights in the shape of a triangle flying low and slow. Alternating lights of green and red. Blue light strip along side.,12/22/22,
12/6/22 03:16,Lakewood,,,Triangle,10 -20 mins,Large smart black panel starship,12/22/22,
12/6/22 03:00,Pictou County,NS,Canada,Light,Never left all night,"This object first appeared to be a bright star. As I looked at it more, I saw blue, red and green lights around the bottom with a flash",12/22/22,
12/6/22 02:00,boston,MA,USA,Unknown,5 min,"Huge orb going upwards in the sky, like if you were standing on the ground looking up at a streetlight",12/22/22,
12/6/22 01:30,San Antonio,TX,USA,Light,,Well I was outside taking night pictures and in the corner of my eye Ive seen a green or yellow light pass by over my neighbors house,12/22/22,
12/5/22 20:56,Everett,WA,USA,Other,Not sure,Facebook reporting of UAP seen in Sky then went into water,12/22/22,Yes
12/5/22 19:24,Woodland,WA,USA,Fireball,10 minutes,Saw 4 lights,12/22/22,
12/5/22 14:09,Victorville,CA,USA,Other,10mns,I'm not sure.,12/22/22,
12/5/22 05:00,Genoa,IL,USA,Rectangle,5-10 minutes,"One spot (light), then two, then three. They all moved same direction very slow moving East. Lights made a triangle.",12/22/22,
12/5/22 02:21,,,,Oval,30 minutes,"Bright, fast moving lights",12/22/22,
12/4/22 22:51,Rome,Lazio,Italy,Circle,At least 10 minutes,"It was floating and then suddenly stopped, then it started to float again. It wasnt an airplane",12/22/22,Yes
12/4/22 19:22,Addis Ababa,Addis Ababa,Ethiopia,Cylinder,idk what that means sorry,it was on an apartment while fixing tv dishes with my friend,12/22/22,
12/4/22 12:47,Neshaminy,PA,USA,Triangle,,Triangular shaped flat flying object,12/22/22,Yes
12/4/22 12:25,Conshohocken,,,Triangle,2 min,Black triangle appeared to glide over homes until was no longer in view,12/22/22,
12/4/22 11:24,Detroit,MI,USA,Rectangle,,Huge invisible object flew our home. Had a shadow on ground,12/22/22,Yes
12/4/22 08:54,Wilmington,DE,USA,Changing,3 min,I opened a portal in my kitchen,12/22/22,
12/4/22 04:00,Tulare,CA,USA,Disk,35 sec,I was terrified but shocked at same time,12/22/22,
12/4/22 01:04,Carol stream,IL,USA,Changing,16 minutes,I have video and a witness to this signing,12/22/22,
12/3/22 22:00,West Monroe,LA,USA,Egg,,theyve been here for a year now,12/22/22,Yes
12/3/22 21:50,Cape San Blas,FL,USA,Circle,26 sec,I was panning the night sky and recording the beach waves sound. I sent sent the video to a friend.I originally did not see the lights,12/22/22,
12/3/22 20:26,Sandy Hook,CT,USA,Light,3 seconds,1,12/22/22,
12/3/22 02:00,Novato,CA,USA,Oval,About 45 seconds,My friends and I were driving home from Santa Cruz. I was in the backseat and looked west to see a very large object in the sky.,12/22/22,
12/3/22 00:05,Kaukauna Wi 54130,WI,USA,Oval,5 Minutes,A huge fastball of light that looked like a tik tak,12/22/22,
12/2/22 22:34,Melbourne,FL,USA,Light,Seconds,A ball or asterisk of light appears,12/22/22,
12/2/22 22:31,Portland,OR,USA,Light,Ongoing,Observed a circling light in the clouds,12/22/22,
12/2/22 22:18,Georgetown,TX,USA,Circle,Only a few seconds,The video was recorded facing parallel to the highway,12/22/22,
12/2/22 22:11,Irvine,CA,USA,Light,10-20 minutes,"UFO shows off, maneuvering up, down, left, and right, in plain sight, as masses remain distracted unable to even look up",12/22/22,
12/2/22 20:20,Shreveport,LA,USA,Disk,5 mins of hovering,"I was coming over the over pass heading west , ass I look to the northwest ride over a tree line I see 3 light the middle the brightest",12/22/22,Yes
12/2/22 20:00,Brighton,MI,USA,Unknown,First spotted 5 minutes,There were 4 lights like circles in the sky shaped similarly to a square going in a circle and then coming together and expanding,12/22/22,
12/2/22 19:35,Brighton,MI,USA,Unknown,,Lights in the sky above the clouds doing patterned flying,12/22/22,
12/2/22 19:15,Pensacola,FL,USA,Fireball,30 to 45 minutes,Orange firey orbs flying over neighborhood,12/22/22,
12/2/22 13:15,Clover,SC,USA,Chevron,Maybe 30 seconds,I was laying in bed looking out the window partly cloudy day and started taking pictures towards sun when I saw the bright orange color,12/22/22,Yes
12/2/22 07:34,Palmetto,FL,USA,Unknown,3 minutes,Portal type opening in the sky,12/22/22,Yes
12/2/22 04:45,200 miles East of ORD at 39000 feet traveling east,OH,USA,Sphere,Aproximatly 20-30 min,3 bright objects moved at high speed in a lower orbit or lower in irregular pattern.((NUFORC Note: Report from airline pilot. PD)),12/22/22,
12/2/22 03:56,Warrenton,VA,USA,Changing,5 min,I have not seen a craft but have experienced a lot of oddities in my own house.,12/22/22,
12/1/22 19:35,Versailles,KY,USA,Fireball,3-4 seconds,"Was traveling east toward Versailles, Ky and witnessed a right fireball falling and traveling from the northwest to southeast .",12/22/22,
12/1/22 19:33,Dawsonville,GA,USA,Light,10 seconds,I thought it was a plane going down,12/22/22,
12/1/22 19:33,Edwardsburg,MI,USA,Fireball,10-15 seconds max,"Light blue fireball, long, white, trailing tail. Before striking the earth quick turns to the east at low level.",12/22/22,
12/1/22 18:45,Elyria,OH,USA,Triangle,,So many of them,12/22/22,
12/1/22 18:30,Savannah,GA,USA,Unknown,2 nights,"Extremely large craft near Jupiter for at least 2 nights, caught on phone camera & saw other reports of this UFO on facebook",12/22/22,Yes
12/1/22 18:10,Blakeslee,OH,USA,Sphere,5 minutes,Bright spherical object moving linear west to east at 20 thousand feet high.,12/22/22,Yes
12/1/22 18:00,Snowflake,AZ,USA,Triangle,2 minutes,I grew up on a 40 acre parcel of land with three small hills.and saw a UFO come up out of one of them.,12/22/22,
12/1/22 15:33,,,USA,Cross,,I observed some type of phenomenon that I was not able to explain it happened so fast that I was not able to comprehend and as well as,12/22/22,Yes
12/1/22 14:10,El paso,TX,USA,Oval,Ten minutes,It appeared out of nowhere & slowly moved across the sky,12/22/22,
12/1/22 06:20,CHARLESTOWN,IN,USA,Light,2 to 3 minutes,Bright object was seen arriving and silently hovering over neighbor's home before moving behind our house and lighting up a window.,12/22/22,Yes
12/1/22 03:59,Mansfield,TX,USA,Changing,60 seconds,Looked like a drone but moved way too fast then had a cylinder of color changing lights that looked like they were dropping down,12/22/22,
11/30/22 19:09,Choctaw,OK,USA,Triangle,Few minutes,3 lights hovering above road. Didnt move or make a sound. Drove directly under it and could see that it was a small craft.,12/22/22,
11/30/22 14:15,,,,Oval,5 minutes,"During the flight, a strange object was visible outside of the window, which stayed in the same position for 5 minutes, and flew away",12/22/22,Yes
11/30/22 09:34,Csmpbrll,CA,USA,Light,Only captured with camera,Blue craft with a light inside around chem trails,12/22/22,Yes
11/29/22 23:45,Napa,CA,USA,Triangle,30 seconds,Triangular craft with three white lights on corners of the object.,12/22/22,
11/29/22 21:27,Somis,CA,USA,Rectangle,2 seconds,Looked like it entered the atmosphere and then disappeared,12/22/22,
11/29/22 21:26,Austin,TX,USA,Fireball,5 seconds,Saw a bright object falling to the ground silently and quickly. It appeared to have green lights and an orange tracer following.,12/22/22,
11/29/22 20:20,Carolina Beach,NC,USA,Rectangle,20 seconds,Something just slowly flew over the homes around 8:20pm with 8 inch red lights running along the bottom of it. No sound.,12/22/22,Yes
11/29/22 19:50,Colorado springs,CO,USA,Other,8min,"Enormous object, looked like a rock, miles long",12/22/22,
11/29/22 18:55,Harper Woods,MI,USA,Diamond,,Oddly shaped object that flew at a angle,12/22/22,
11/29/22 06:00,Portsmouth,NH,USA,Oval,Few seconds,While running in the early morning I saw these objects in the sky in my neighborhood.,12/22/22,Yes
11/28/22 22:15,sun prairie,WI,USA,Triangle,,Triangular Spaceship Object,12/22/22,
11/28/22 21:04,,,USA,Rectangle,23 minutes,"Oddly bright star, but when I zoomed in with my camera it had a strange shape",12/22/22,Yes
11/28/22 06:30,Niagara Falls,NY,USA,Disk,About 10 secs,Saw a disk fly over a red light while I was waiting for green. Other cars saw it because we did not all move when green.,12/22/22,
11/28/22 04:00,Sanford,NC,USA,Changing,A couple of hours,Unidentified object changing form and color dancing in the sky,12/22/22,
11/27/22 21:00,Elkton,MD,USA,Unknown,Few seconds,Me and my husband seen UFO while standing on back deck looking at the stars.,12/22/22,
11/27/22 16:38,lexington,SC,USA,Unknown,almost 2 minutes,afternoon sky watching,12/22/22,
11/27/22 15:30,La Grange,TX,USA,Cylinder,5 minutes Driving,Watched for about 5 minutes.,12/22/22,
11/27/22 14:00,Fargo,,USA,Circle,5 minutes,It was a circular object that would tip side to side black with a metallic glint when it would tip,12/22/22,
11/26/22 22:55,Hatboro,PA,USA,Triangle,15 mins,Hovering craft,12/22/22,Yes
11/26/22 19:15,Grand Rapids,MN,USA,Oval,Appeared in my photo,Did not notice until I tried to edit my photo,12/22/22,
11/26/22 18:00,Richmond,CA,USA,Other,5 minutes,Gold in Color orb like a distant Star near Jupiter,12/22/22,
11/26/22 17:22,Island Pond,,,Light,1min 15sec,Low flying white light moving west to east.,12/22/22,
11/26/22 16:30,Phila,PA,USA,Fireball,5 min,"Stationary fireball type object ,with horned type flames from top. ((NUFORC Note: Contrail. PD))",12/22/22,
11/26/22 14:17,Mount Holly,NJ,USA,Cone,3 seconds,"Driving up the bypass I witnessed a metallic almost glassy cone shaped object. It was upright and vertical, and was rotating.",12/22/22,Yes
11/26/22 00:30,Wenatchee,WA,USA,Circle,Several,I woke up and saw this outside of my window. I kept watching and then recorded.,12/22/22,
11/26/22 00:00,Port Orchard,WA,USA,Unknown,3 hours,Coming from west. Can't see it.,12/22/22,
11/25/22 22:27,Satellite beach,FL,USA,Light,"Maybe 5 minutes, hard to","Light off the ocean, thought it was a star then grew brighter and came closer to shore, then abruptly flew to horizon and vanished",12/22/22,
11/25/22 20:30,Greenwich,CT,USA,Sphere,15 minutes and contining,Was walking dog and saw four circling lights moving rapidly and then coalescinng,12/22/22,
11/25/22 19:15,Sherwood Tigard,OR,USA,Light,Twice 3-5min,Fast glowing lights just above clouds,12/22/22,
11/25/22 19:05,San Jose,CA,USA,Triangle,5 minutes,Ufo falling from outerspace,12/22/22,
11/25/22 18:30,Lemon Grove,CA,USA,Changing,3 hours,"Every night these lights appear, and will even fallow when I leave. Pulse at my phone",12/22/22,
11/24/22 21:25,lockford,CA,USA,Light,3 seconds,intense red light hovering then moving towards ground quickly.,12/22/22,
11/24/22 20:34,Huntley,MT,USA,Cylinder,20 minutes,Aspirin shaped craft,12/22/22,Yes
11/24/22 20:22,London,London Borough of Islington,United Kingdom,Triangle,About 3 minutes,I saw a craft shaped like a bumerang with bright lights all over the sides of it,12/22/22,Yes
11/24/22 19:45,Fairfield,,,Circle,,Bright reddish orange light visable for approx. 25 to 30 seconds then disappeared,12/22/22,
11/24/22 18:30,Wausau,WI,USA,Unknown,6 min,It was blinking lights unsure about the shape it was too high,12/22/22,
11/24/22 10:20,ste-sophie,Quebec,Canada,Cylinder,10 sec,space,12/22/22,
11/24/22 04:23,New Lisbon,WI,USA,Circle,1 photo on trail camera,I have pics on trail cameras from different areas on my property,12/22/22,
11/23/22 23:01,Albuquerque,NM,USA,Oval,approximately 10 minutes,appeared to be hovering about the houses in my neighborhood moving very slowly.,12/22/22,
11/23/22 22:55,Thamesford,ON,Canada,Light,Several minutes,Round light - gradually growers brighter and bigger,12/22/22,
11/23/22 22:48,Sea Isle,NJ,USA,Other,10 seconds,"Clear sky, floating orange glow clearly not standard aircraft",12/22/22,Yes
11/23/22 22:15,Between Centerview and alone Jack,MO,USA,Light,About 30 mins,"Saw lights flashing through the sky over the highway in all directions. Formed circle and rotated, kept getting large then small",12/22/22,
11/23/22 20:12,Normal,IL,USA,Changing,10 minutes max,"Gazing out South SW we saw 3 changing objects. Diamond, cylinder, tic tac, house shape, w blue, yellow, orange. They bounced around.",12/22/22,Yes
11/23/22 20:00,Yonkers,NY,USA,Circle,5 minutes,Numerous objects north to southwest,12/22/22,
11/23/22 20:00,Fishers,IN,USA,Light,10 minutes,"LIne of round lights moving south to north in single file (white light with reddish tint) -- definitely ""flying""",12/22/22,
11/23/22 19:15,Normal,IL,USA,Changing,10 minutes,"I saw and recorded changing UAP, shapes and changing colors, it ping ponged around the sky, I have crazy screenshots of my 8 min video",12/22/22,Yes
11/23/22 18:20,Deming,,USA,Changing,less than ten seconds,"Heard an animal howl, went out front door to investigate. Heard a loud mechanical buzz then saw lights.",12/22/22,
11/23/22 11:27,Independence,OH,USA,Disk,40 seconds,"UFO displaying advanced camouflage, it showed an outline of itself when it went over power lines, it seemed to reflect light around",12/22/22,Yes
11/23/22 02:45,Huachuca City,AZ,USA,Sphere,Over an hour.,Spotted object in the eastern sky when letting my dog out.,12/22/22,Yes
11/23/22 00:30,Flora,,,Triangle,8 seconds,The craft flew over my house at 12:30AM completely silent and no lights while I was outside with my dog.,12/22/22,
